profile_id,counter_id,direction,display_name,file,lat,lon,data_points
Z058_Hauptbahnhof,Z058,Hauptbahnhof,Z058 - Stampfenbachstrasse (Wasserwerkstrasse) (Hauptbahnhof),data/prepared/profiles/Z058_Hauptbahnhof.csv,47.38049016749406,8.542660377001537,1440
Z058_Schaffhauserplatz,Z058,Schaffhauserplatz,Z058 - Stampfenbachstrasse (Wasserwerkstrasse) (Schaffhauserplatz),data/prepared/profiles/Z058_Schaffhauserplatz.csv,47.3805240824023,8.542782388658894,1440
Z059_Central,Z059,Central,Z059 - Neumühlequai (Sanität) (Central),data/prepared/profiles/Z059_Central.csv,47.38200890913023,8.540436301327434,1440
Z059_Milchbucktunnel,Z059,Milchbucktunnel,Z059 - Neumühlequai (Sanität) (Milchbucktunnel),data/prepared/profiles/Z059_Milchbucktunnel.csv,47.381455904064104,8.54093448149524,1440
Z061_Hohlstrasse,Z061,Hohlstrasse,Z061 - Duttweiler Brücke (Hohlstrasse),data/prepared/profiles/Z061_Hohlstrasse.csv,47.38957755009626,8.511737732884527,1440
Z061_Pfingstweidstrasse,Z061,Pfingstweidstrasse,Z061 - Duttweiler Brücke (Pfingstweidstrasse),data/prepared/profiles/Z061_Pfingstweidstrasse.csv,47.38954884764983,8.511990409303692,1440
Z062_Allmend,Z062,Allmend,Z062 - Brunaustrasse (Rieterstrasse) (Allmend),data/prepared/profiles/Z062_Allmend.csv,47.354326475873975,8.5258517991825,1440
Z062_Enge,Z062,Enge,Z062 - Brunaustrasse (Rieterstrasse) (Enge),data/prepared/profiles/Z062_Enge.csv,47.35434290898582,8.525969412334401,1440
Z063_Albisriederplatz,Z063,Albisriederplatz,Z063 - Albisriederstrasse (Hubertus) (Albisriederplatz),data/prepared/profiles/Z063_Albisriederplatz.csv,47.37733147658815,8.499535478505594,1440
Z063_Hubertus,Z063,Hubertus,Z063 - Albisriederstrasse (Hubertus) (Hubertus),data/prepared/profiles/Z063_Hubertus.csv,47.3774702941806,8.499434950111368,1440
Z064_Birmensdorferstrasse,Z064,Birmensdorferstrasse,Z064 - Gutstrasse (Hubertus) (Birmensdorferstrasse),data/prepared/profiles/Z064_Birmensdorferstrasse.csv,47.376430913531586,8.499919733821812,1440
Z064_Hubertus,Z064,Hubertus,Z064 - Gutstrasse (Hubertus) (Hubertus),data/prepared/profiles/Z064_Hubertus.csv,47.376522431673855,8.499915570538995,1440
Z065_auswärts,Z065,auswärts,Z065 - Hardturmstrasse (Fischerweg) (auswärts),data/prepared/profiles/Z065_auswärts.csv,47.39170905109492,8.518897109793633,1440
Z065_einwärts,Z065,einwärts,Z065 - Hardturmstrasse (Fischerweg) (einwärts),data/prepared/profiles/Z065_einwärts.csv,47.39161914024379,8.51898906908272,1440
Z066_Helvetiaplatz,Z066,Helvetiaplatz,Z066 - Stauffacherstrasse (Feldstrasse) (Helvetiaplatz),data/prepared/profiles/Z066_Helvetiaplatz.csv,47.377702304772555,8.521976974651158,1440
Z066_Seebahnstrasse,Z066,Seebahnstrasse,Z066 - Stauffacherstrasse (Feldstrasse) (Seebahnstrasse),data/prepared/profiles/Z066_Seebahnstrasse.csv,47.377686567459335,8.52217794226699,1440
