profile_id,counter_id,name,direction,display_name,x_coord,y_coord,lat,lon,coordinates,file
Z013_einwärts,Z013,Thurgauerstrasse (Schärenmoosstrasse),einwärts,Z013 - Thurgauerstrasse (Schärenmoosstrasse) (einwärts),2684310.47,1252727.56,47.41995709179105,8.555932173778457,"[47.41995709179105,8.555932173778457]",data/prepared/profiles/Z013_einwärts.csv
Z014_auswärts,Z014,Weststrasse (Ueberlandstrasse),auswärts,Z014 - Weststrasse (Ueberlandstrasse) (auswärts),2686139.38,1251547.6,47.40910873433026,8.579938633614873,"[47.40910873433026,8.579938633614873]",data/prepared/profiles/Z014_auswärts.csv
Z014_einwärts,Z014,Weststrasse (Ueberlandstrasse),einwärts,Z014 - Weststrasse (Ueberlandstrasse) (einwärts),2686130.26,1251546.14,47.40909679719929,8.579817532818955,"[47.40909679719929,8.579817532818955]",data/prepared/profiles/Z014_einwärts.csv
Z015_auswärts,Z015,Neue Winterthurerstrasse (Ueberlandstrasse),auswärts,Z015 - Neue Winterthurerstrasse (Ueberlandstrasse) (auswärts),2687021.11,1251261.03,47.406415622971934,8.59156376264785,"[47.406415622971934,8.59156376264785]",data/prepared/profiles/Z015_auswärts.csv
Z015_einwärts,Z015,Neue Winterthurerstrasse (Ueberlandstrasse),einwärts,Z015 - Neue Winterthurerstrasse (Ueberlandstrasse) (einwärts),2687010.56,1251264.63,47.40644939253651,8.591424706920156,"[47.40644939253651,8.591424706920156]",data/prepared/profiles/Z015_einwärts.csv
Z016_auswärts,Z016,Ueberlandstrasse (Neue Winterthurerstrasse),auswärts,Z016 - Ueberlandstrasse (Neue Winterthurerstrasse) (auswärts),2687005.31,1251174.49,47.40563943945429,8.591337617276631,"[47.40563943945429,8.591337617276631]",data/prepared/profiles/Z016_auswärts.csv
Z016_einwärts,Z016,Ueberlandstrasse (Neue Winterthurerstrasse),einwärts,Z016 - Ueberlandstrasse (Neue Winterthurerstrasse) (einwärts),2687010.02,1251185.21,47.405735224227534,8.591402096335328,"[47.405735224227534,8.591402096335328]",data/prepared/profiles/Z016_einwärts.csv
Z017_auswärts,Z017,Dübendorfstrasse (Altwiesenstrasse),auswärts,Z017 - Dübendorfstrasse (Altwiesenstrasse) (auswärts),2687080.9,1250340.44,47.39812866392449,8.592176513030354,"[47.39812866392449,8.592176513030354]",data/prepared/profiles/Z017_auswärts.csv
Z017_einwärts,Z017,Dübendorfstrasse (Altwiesenstrasse),einwärts,Z017 - Dübendorfstrasse (Altwiesenstrasse) (einwärts),2687080.72,1250344.37,47.398164031068426,8.592174894204303,"[47.398164031068426,8.592174894204303]",data/prepared/profiles/Z017_einwärts.csv
Z018_auswärts,Z018,Tobelhof-/Dreiwiesenstrasse,auswärts,Z018 - Tobelhof-/Dreiwiesenstrasse (auswärts),2685813.35,1248142.25,47.37852611162638,8.574966121552066,"[47.37852611162638,8.574966121552066]",data/prepared/profiles/Z018_auswärts.csv
Z018_einwärts,Z018,Tobelhof-/Dreiwiesenstrasse,einwärts,Z018 - Tobelhof-/Dreiwiesenstrasse (einwärts),2685849.45,1248148.3,47.378575818313706,8.575445251676445,"[47.378575818313706,8.575445251676445]",data/prepared/profiles/Z018_einwärts.csv
Z019_auswärts,Z019,Witikonerstrasse (Katzenschwanzstrasse),auswärts,Z019 - Witikonerstrasse (Katzenschwanzstrasse) (auswärts),2687630.91,1246201.94,47.36083711637546,8.598650982179922,"[47.36083711637546,8.598650982179922]",data/prepared/profiles/Z019_auswärts.csv
Z019_einwärts,Z019,Witikonerstrasse (Katzenschwanzstrasse),einwärts,Z019 - Witikonerstrasse (Katzenschwanzstrasse) (einwärts),2687628.72,1246207.3,47.36088561169392,8.598623044824578,"[47.36088561169392,8.598623044824578]",data/prepared/profiles/Z019_einwärts.csv
Z020_auswärts,Z020,Forchstrasse (Witellikerstrasse),auswärts,Z020 - Forchstrasse (Witellikerstrasse) (auswärts),2685897.8,1245406.61,47.353912584747505,8.575559426804348,"[47.353912584747505,8.575559426804348]",data/prepared/profiles/Z020_auswärts.csv
Z020_einwärts,Z020,Forchstrasse (Witellikerstrasse),einwärts,Z020 - Forchstrasse (Witellikerstrasse) (einwärts),2685961.74,1245348.47,47.35338137516122,8.576394453999152,"[47.35338137516122,8.576394453999152]",data/prepared/profiles/Z020_einwärts.csv
Z021_auswärts,Z021,Bellerivestrasse (Bahnhof Tiefenbrunnen),auswärts,Z021 - Bellerivestrasse (Bahnhof Tiefenbrunnen) (auswärts),2684868.02,1244845.23,47.34899725993967,8.561824896918994,"[47.34899725993967,8.561824896918994]",data/prepared/profiles/Z021_auswärts.csv
Z021_einwärts,Z021,Bellerivestrasse (Bahnhof Tiefenbrunnen),einwärts,Z021 - Bellerivestrasse (Bahnhof Tiefenbrunnen) (einwärts),2684905.26,1244804.51,47.34862625336168,8.56230997159453,"[47.34862625336168,8.56230997159453]",data/prepared/profiles/Z021_einwärts.csv
Z022_auswärts,Z022,Allmendstrasse (Brunau),auswärts,Z022 - Allmendstrasse (Brunau) (auswärts),2681701.49,1244599.72,47.34718931215961,8.519877593903187,"[47.34718931215961,8.519877593903187]",data/prepared/profiles/Z022_auswärts.csv
Z022_einwärts,Z022,Allmendstrasse (Brunau),einwärts,Z022 - Allmendstrasse (Brunau) (einwärts),2681748.24,1244565.5,47.34687576025359,8.520489970168455,"[47.34687576025359,8.520489970168455]",data/prepared/profiles/Z022_einwärts.csv
Z024_auswärts,Z024,Autobahn A1 (Auschluss Schwamendingen),auswärts,Z024 - Autobahn A1 (Auschluss Schwamendingen) (auswärts),2685383.0,1251656.05,47.41018255900776,8.569938996556107,"[47.41018255900776,8.569938996556107]",data/prepared/profiles/Z024_auswärts.csv
Z024_einwärts,Z024,Autobahn A1 (Auschluss Schwamendingen),einwärts,Z024 - Autobahn A1 (Auschluss Schwamendingen) (einwärts),2685373.47,1251665.11,47.410265273238686,8.56981447309751,"[47.410265273238686,8.56981447309751]",data/prepared/profiles/Z024_einwärts.csv
Z025_Altstetten,Z025,Europabrücke (Winzerstrasse),Altstetten,Z025 - Europabrücke (Winzerstrasse) (Altstetten),2679758.14,1250394.64,47.3995435658477,8.495194593835503,"[47.3995435658477,8.495194593835503]",data/prepared/profiles/Z025_Altstetten.csv
Z025_Höngg,Z025,Europabrücke (Winzerstrasse),Höngg,Z025 - Europabrücke (Winzerstrasse) (Höngg),2679760.06,1250365.74,47.399283424906784,8.495214870982633,"[47.399283424906784,8.495214870982633]",data/prepared/profiles/Z025_Höngg.csv
Z026_Bucheggplatz,Z026,Rosengartenstrasse (Röschibachstrasse),Bucheggplatz,Z026 - Rosengartenstrasse (Röschibachstrasse) (Bucheggplatz),2681913.5,1249607.31,47.39219831344234,8.52359923213398,"[47.39219831344234,8.52359923213398]",data/prepared/profiles/Z026_Bucheggplatz.csv
Z026_Hardplatz,Z026,Rosengartenstrasse,Hardplatz,Z026 - Rosengartenstrasse (Hardplatz),2681940.05,1249609.39,47.392213717538716,8.523951232795994,"[47.392213717538716,8.523951232795994]",data/prepared/profiles/Z026_Hardplatz.csv
Z027_Escher Wyss Platz,Z027,Wipkingerbrücke,Escher Wyss Platz,Z027 - Wipkingerbrücke (Escher Wyss Platz),2681911.35,1249583.44,47.39198390959066,8.52356638726177,"[47.39198390959066,8.52356638726177]",data/prepared/profiles/Z027_Escher Wyss Platz.csv
Z027_Wipkingerplatz,Z027,Wipkingerbrücke,Wipkingerplatz,Z027 - Wipkingerbrücke (Wipkingerplatz),2681960.29,1249649.87,47.39257525016697,8.524226701925894,"[47.39257525016697,8.524226701925894]",data/prepared/profiles/Z027_Wipkingerplatz.csv
Z028_Limmatplatz,Z028,Kornhausbrücke,Limmatplatz,Z028 - Kornhausbrücke (Limmatplatz),2682755.37,1249023.49,47.38684259747994,8.534640667628336,"[47.38684259747994,8.534640667628336]",data/prepared/profiles/Z028_Limmatplatz.csv
Z028_Nord,Z028,Kornhausbrücke,Nord,Z028 - Kornhausbrücke (Nord),2682767.55,1249026.65,47.386869486307575,8.534802543670777,"[47.386869486307575,8.534802543670777]",data/prepared/profiles/Z028_Nord.csv
Z029_Bahnhof,Z029,Walchebrücke,Bahnhof,Z029 - Walchebrücke (Bahnhof),2683297.01,1248118.51,47.378635538237226,8.541644767122648,"[47.378635538237226,8.541644767122648]",data/prepared/profiles/Z029_Bahnhof.csv
Z029_Walcheplatz,Z029,Walchebrücke,Walcheplatz,Z029 - Walchebrücke (Walcheplatz),2683350.45,1248117.8,47.37862239482028,8.54235219446902,"[47.37862239482028,8.54235219446902]",data/prepared/profiles/Z029_Walcheplatz.csv
Z030_Bahnhofquai,Z030,Rudolf Brun-Brücke,Bahnhofquai,Z030 - Rudolf Brun-Brücke (Bahnhofquai),2683386.15,1247648.25,47.37439504566229,8.542737391846446,"[47.37439504566229,8.542737391846446]",data/prepared/profiles/Z030_Bahnhofquai.csv
Z030_Mühlegasse,Z030,Rudolf Brun-Brücke,Mühlegasse,Z030 - Rudolf Brun-Brücke (Mühlegasse),2683325.2,1247645.47,47.374377754318886,8.5419299445841,"[47.374377754318886,8.5419299445841]",data/prepared/profiles/Z030_Mühlegasse.csv
Z031_Bellevue,Z031,Quaibrücke,Bellevue,Z031 - Quaibrücke (Bellevue),2683361.41,1246789.19,47.366672325702964,8.542249889656315,"[47.366672325702964,8.542249889656315]",data/prepared/profiles/Z031_Bellevue.csv
Z031_Bürkliplatz,Z031,Quaibrücke,Bürkliplatz,Z031 - Quaibrücke (Bürkliplatz),2683399.15,1246811.72,47.36687017183801,8.542753661453927,"[47.36687017183801,8.542753661453927]",data/prepared/profiles/Z031_Bürkliplatz.csv
Z032_Oerlikon,Z032,Binzmühlestrasse (Thurgauerstrasse),Oerlikon,Z032 - Binzmühlestrasse (Thurgauerstrasse) (Oerlikon),2683912.36,1252088.07,47.414256870461294,8.550536931540314,"[47.414256870461294,8.550536931540314]",data/prepared/profiles/Z032_Oerlikon.csv
Z032_Schwamendingen,Z032,Binzmühlestrasse (Thurgauerstrasse),Schwamendingen,Z032 - Binzmühlestrasse (Thurgauerstrasse) (Schwamendingen),2683913.58,1252071.86,47.4141109345379,8.550550051996687,"[47.4141109345379,8.550550051996687]",data/prepared/profiles/Z032_Schwamendingen.csv
Z033_auswärts,Z033,Milchbucktunnel (Südportal),auswärts,Z033 - Milchbucktunnel (Südportal) (auswärts),2682974.4,1248893.38,47.38564492330156,8.537517002329835,"[47.38564492330156,8.537517002329835]",data/prepared/profiles/Z033_auswärts.csv
Z033_einwärts,Z033,Milchbucktunnel (Südportal),einwärts,Z033 - Milchbucktunnel (Südportal) (einwärts),2682953.4,1248912.91,47.38582320786505,8.537242540891095,"[47.38582320786505,8.537242540891095]",data/prepared/profiles/Z033_einwärts.csv
Z034_Affoltern,Z034,Emil Klöti-Strasse (Gsteigstrasse),Affoltern,Z034 - Emil Klöti-Strasse (Gsteigstrasse) (Affoltern),2680464.92,1251077.69,47.40560050660545,8.504679198728137,"[47.40560050660545,8.504679198728137]",data/prepared/profiles/Z034_Affoltern.csv
Z034_Bucheggplatz,Z034,Emil Klöti-Strasse (Gsteigstrasse),Bucheggplatz,Z034 - Emil Klöti-Strasse (Gsteigstrasse) (Bucheggplatz),2680448.99,1251086.36,47.40568042500895,8.504469733137643,"[47.40568042500895,8.504469733137643]",data/prepared/profiles/Z034_Bucheggplatz.csv
Z035_Birmensdorferstrasse,Z035,Gutstrasse (Burstwiesenstrasse),Birmensdorferstrasse,Z035 - Gutstrasse (Burstwiesenstrasse) (Birmensdorferstrasse),2680550.91,1247394.08,47.37246187362527,8.505155076379308,"[47.37246187362527,8.505155076379308]",data/prepared/profiles/Z035_Birmensdorferstrasse.csv
Z035_Hubertus,Z035,Gutstrasse (Burstwiesenstrasse),Hubertus,Z035 - Gutstrasse (Burstwiesenstrasse) (Hubertus),2680544.57,1247408.57,47.372592963384974,8.505073749403644,"[47.372592963384974,8.505073749403644]",data/prepared/profiles/Z035_Hubertus.csv
Z036_Albisgütli,Z036,Schweighofstrasse (Hägelerweg),Albisgütli,Z036 - Schweighofstrasse (Hägelerweg) (Albisgütli),2680283.25,1246881.41,47.36788386873381,8.50151963882265,"[47.36788386873381,8.50151963882265]",data/prepared/profiles/Z036_Albisgütli.csv
